song_title,album,year,singer,lyricist,composer,imdb_id
muralii madhur kahii.n baajii,(Non-film),1930s,Dilip Kumar Roy,Meera Bai,Dilip Kumar Roy,
janam maraN ke saathii,(Non-film),1930s,Dilip Kumar Roy,(Traditional),Dilip Kumar Roy,
wo muqaddar na rahaa aur wo zamaanaa na rahaa,Sheereen Farhaad,1931,Master Nissar,Agha Hashra Kashmiri,Brujlal Verma,
chho.D aakaash ko sitaare zamii.n par laaye,Maaya Machhindra/ Illusion/ Triya Rajya,1932,Govindrao Tembe,Kumar,Govindrao Tembe,
ai dard\-e\-dil kisii din honaa judaa na hamase,Raadharaani/ Divine Lady,1932,Gauhar Sultaana,Pt. Narayan Prasad 'Betab',Jhande Khan,
are mai.n to luT ga_ii aake tere baaG me.n maalii,Aurat Ka Pyaar,1933,Mukhtar Begum,Aga H Kashmiri,Mushtaq Ahmed,tt0231198
nuktaachii.n hai Gam\-e\-dil usako sunaaye na bane,Yahoodi Ki Ladki,1933,Saigal,Mirza Ghalib,Pankaj Mullick,
raajaa toraa paniyaa.N hamase na bharaa jaay re,Zehree Saanp,1933,Jehanara Kajjan,Pt. Narayan Prasad 'Betab',Brajlal Verma,
prem nagar me.n banaauu.Ngii ghar mai.n,Chandidas,1934,"Saigal, Uma Shashi",Aga H Kashmiri,R C Boral,tt0024964
kamasinii me.n dil pe Gam kaa baar kyo.N,Amrit Manthan,1934,"Shanta Apte, Chorus",'Veer' Muhammedpuri,Keshavrao Bhole,tt0024828
prem kii ho jay\-jay jiiwan hai ab sukhamay,Chandidaas,1934,"Saigal, Uma Shashi, Pahadi Sanyal",Aga H Kashmiri,R C Boral,
"basant ritu aa_ii aalii, phuul khilii Daalii\-Daalii",Chandidaas,1934,Uma Shashi,Aga H Kashmiri,R C Boral,
ta.Dapat biite din rainaa,Chandidas,1934,Saigal,Aga H Kashmiri,R C Boral,tt0024964
terii maut kha.Dii ho sarahaane jidhar,Devdaas,1935,K C Dey,Kedar Sharma,Timir Baran,
jidhar unakii tirachhii nazar ho ga_ii,Diljaani/ Mastaanaa/ Kunwaari,1935,Master Fida Husain,Ram Das 'Azaad',Master Nagar Das Nayak,
phir tiir\-e\-nazar se chhed jigar phir aa.Nkh milaa bismil kar de,Daakoo Ka Ladka,1935,Master Fida Husain,Rajiuddin,Master Nagar Das Nayak,
mat bhuul musaafir tujhe jaanaa hii pa.Degaa,Devdaas,1935,K C Dey,Kedar Sharma,Timir Baran,
roshan hai tere dam se duniyaa kaa pariiKaanaa,Devdaas,1935,Pahari Sanyal,Kedar Sharma,Timir Baran,
piyaa bin naahii.n aavat chainaa,Devdaas,1935,Saigal,Kedar Sharma,Timir Baran,
na aayaa man kaa miit umariyaa biit ga_ii saarii,Devdaas,1935,K C Dey,Kedar Sharma,Timir Baran,
naa pii kii nagariyaa aaye hai,Devdaas,1935,Pahari Sanyal,Kedar Sharma,Timir Baran,
naahi.n aaye ghanashyaam gheri aa_ii badarii,Devdaas,1935,Rajkumari,Kedar Sharma,Timir Baran,
chhuTe asiir to badalaa hu_aa zamaanaa thaa,Devdaas,1935,Saigal,Kedar Sharma,Timir Baran,
